146.873000,322.814000,165.986000,310.537000,190.291000,312.670000,208.972000,330.703000,188.055000,334.455000,163.844000,332.979000,303.540000,335.424000,323.955000,319.356000,347.788000,320.468000,364.944000,334.110000,348.703000,341.929000,325.418000,341.264000
200.446000,414.753000,223.933000,399.124000,253.880000,399.602000,278.464000,419.043000,253.400000,425.916000,223.211000,426.735000,393.954000,414.623000,418.842000,393.262000,448.230000,392.327000,470.253000,406.399000,451.906000,419.301000,422.749000,420.706000
184.522000,405.897000,209.688000,389.178000,243.252000,390.417000,269.881000,411.812000,241.989000,420.405000,208.844000,420.281000,402.053000,404.717000,427.862000,381.497000,461.009000,379.201000,486.216000,393.699000,465.702000,409.251000,433.380000,411.970000
186.467000,365.558000,213.652000,350.486000,248.220000,352.022000,275.894000,372.741000,246.691000,382.040000,212.050000,381.823000,398.730000,371.708000,427.525000,349.449000,461.928000,348.234000,488.589000,362.566000,465.806000,378.639000,431.945000,380.604000
167.574000,389.758000,193.924000,376.159000,225.705000,378.234000,250.862000,400.024000,223.228000,405.308000,191.322000,404.022000,365.989000,402.226000,393.783000,381.187000,424.832000,381.247000,448.926000,395.826000,427.072000,408.332000,396.466000,408.939000
178.331000,383.893000,203.809000,369.857000,234.665000,373.068000,260.083000,395.652000,232.870000,399.326000,201.573000,397.948000,376.879000,397.439000,404.365000,375.156000,434.317000,374.795000,458.533000,389.806000,436.956000,401.121000,407.280000,402.099000
165.683000,373.548000,193.051000,356.611000,227.154000,356.132000,255.782000,376.628000,227.361000,384.957000,193.430000,386.526000,391.984000,366.236000,419.278000,340.989000,452.894000,337.693000,479.337000,351.551000,458.520000,367.614000,425.485000,370.970000
168.665000,412.970000,193.547000,397.743000,226.218000,400.781000,252.300000,424.153000,224.631000,429.768000,191.927000,428.537000,374.090000,423.765000,401.605000,399.347000,433.680000,398.210000,458.740000,413.155000,437.680000,428.080000,405.844000,429.912000
168.184000,377.944000,193.547000,366.223000,224.858000,367.930000,250.404000,386.363000,223.663000,393.953000,192.149000,393.339000,371.445000,385.752000,398.167000,367.053000,429.256000,366.866000,454.074000,378.723000,432.026000,392.914000,401.223000,394.150000
188.672000,447.690000,215.543000,430.518000,249.292000,430.371000,275.886000,453.732000,247.525000,459.358000,213.985000,459.032000,415.620000,451.936000,441.035000,427.234000,474.300000,426.355000,501.161000,442.902000,477.851000,454.604000,446.129000,455.376000
